id,owner,action,due,status
A-042,Lotte Visser,Complete supporting support action 42,2026-09-11,CLOSED
A-043,Amir de Jong,Complete supporting infrastructure action 43,2026-09-11,CLOSED
A-044,Theo Smit,Complete supporting customer action 44,2026-09-11,CLOSED
A-045,Lotte Visser,Complete supporting launch action 45,2026-09-11,CLOSED
A-046,Amir de Jong,Complete supporting rollback action 46,2026-09-11,CLOSED
A-047,Theo Smit,Complete supporting support action 47,2026-09-11,CLOSED
A-048,Lotte Visser,Complete supporting infrastructure action 48,2026-09-11,CLOSED
A-049,Amir de Jong,Complete supporting customer action 49,2026-09-11,CLOSED
A-050,Theo Smit,Complete supporting launch action 50,2026-09-11,CLOSED
A-051,Lotte Visser,Complete supporting rollback action 51,2026-09-11,CLOSED
A-052,Amir de Jong,Complete supporting support action 52,2026-09-11,CLOSED
A-053,Theo Smit,Complete supporting infrastructure action 53,2026-09-11,CLOSED
A-054,Lotte Visser,Complete supporting customer action 54,2026-09-11,CLOSED
A-055,Amir de Jong,Complete supporting launch action 55,2026-09-11,CLOSED
A-056,Theo Smit,Complete supporting rollback action 56,2026-09-11,CLOSED
A-057,Lotte Visser,Complete supporting support action 57,2026-09-11,CLOSED
A-058,Amir de Jong,Complete supporting infrastructure action 58,2026-09-11,CLOSED
A-059,Theo Smit,Complete supporting customer action 59,2026-09-11,CLOSED
A-060,Lotte Visser,Complete supporting launch action 60,2026-09-11,CLOSED
A-061,Amir de Jong,Complete supporting rollback action 61,2026-09-11,CLOSED
A-062,Theo Smit,Complete supporting support action 62,2026-09-11,CLOSED
A-063,Lotte Visser,Complete supporting infrastructure action 63,2026-09-11,CLOSED
A-064,Amir de Jong,Complete supporting customer action 64,2026-09-11,CLOSED
A-065,Theo Smit,Complete supporting launch action 65,2026-09-11,CLOSED
A-066,Lotte Visser,Complete supporting rollback action 66,2026-09-11,CLOSED
A-067,Amir de Jong,Complete supporting support action 67,2026-09-11,CLOSED
A-068,Theo Smit,Complete supporting infrastructure action 68,2026-09-11,CLOSED
A-069,Lotte Visser,Complete supporting customer action 69,2026-09-11,CLOSED
A-070,Amir de Jong,Complete supporting launch action 70,2026-09-11,CLOSED
A-071,Theo Smit,Complete supporting rollback action 71,2026-09-11,CLOSED
A-072,Lotte Visser,Complete supporting support action 72,2026-09-11,CLOSED
A-073,Amir de Jong,Complete supporting infrastructure action 73,2026-09-11,CLOSED
A-074,Theo Smit,Complete supporting customer action 74,2026-09-11,CLOSED
A-075,Lotte Visser,Complete supporting launch action 75,2026-09-11,CLOSED
A-076,Amir de Jong,Complete supporting rollback action 76,2026-09-11,CLOSED
A-077,Theo Smit,Complete supporting support action 77,2026-09-11,CLOSED
A-078,Lotte Visser,Complete supporting infrastructure action 78,2026-09-11,CLOSED
A-079,Amir de Jong,Complete supporting customer action 79,2026-09-11,CLOSED
A-080,Theo Smit,Complete supporting launch action 80,2026-09-11,CLOSED
